Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
1/9/2013,MEM,L 87-94,41,10,22,4,8,0,1,4,4,0,2,2,4,24,REGULAR SEASON STATS,L,87,94
1/11/2013,POR,W 103-97,44,7,22,3,8,5,5,3,12,1,3,1,1,22,REGULAR SEASON STATS,W,103,97
1/13/2013,DEN,L 105-116,41,11,18,7,9,0,0,0,7,0,1,4,1,29,REGULAR SEASON STATS,L,105,116
1/16/2013,MIA,L 75-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,75,92
1/18/2013,SA,L 88-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,88,95
1/19/2013,NO,W 116-112,38,5,17,2,8,8,10,3,7,0,4,2,1,20,REGULAR SEASON STATS,W,116,112
1/21/2013,LAC,W 106-99,37,9,14,6,8,4,4,3,6,0,0,4,2,28,REGULAR SEASON STATS,W,106,99
1/23/2013,OKC,W 104-99,42,11,27,3,14,6,6,3,7,0,4,1,2,31,REGULAR SEASON STATS,W,104,99
1/25/2013,CHI,L 87-103,37,7,18,3,7,4,4,1,1,0,0,1,2,21,REGULAR SEASON STATS,L,87,103
1/26/2013,MIL,L 102-109,37,8,19,5,9,5,5,2,7,0,1,2,2,26,REGULAR SEASON STATS,L,102,109
1/28/2013,TOR,W 114-102,26,7,12,1,3,2,2,1,5,0,1,1,2,17,REGULAR SEASON STATS,W,114,102
1/29/2013,CLE,W 108-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,108,95
1/31/2013,DAL,W 100-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,100,97
2/2/2013,PHX,W 113-93,42,11,20,6,10,1,1,2,8,0,2,3,2,29,REGULAR SEASON STATS,W,113,93
2/5/2013,HOU,L 109-140,28,3,12,1,5,0,0,4,9,1,0,2,2,7,REGULAR SEASON STATS,L,109,140
2/6/2013,OKC,L 98-119,36,5,20,2,7,2,2,8,11,0,1,3,6,14,REGULAR SEASON STATS,L,98,119
2/8/2013,MEM,L 93-99,40,11,22,4,9,6,6,5,8,0,2,4,2,32,REGULAR SEASON STATS,L,93,99
2/9/2013,DAL,L 91-116,31,8,23,1,3,1,1,7,4,0,1,2,5,18,REGULAR SEASON STATS,L,91,116
2/12/2013,HOU,L 107-116,35,10,19,2,5,5,6,5,6,0,1,4,1,27,REGULAR SEASON STATS,L,107,116
2/19/2013,UTAH,L 101-115,38,12,22,4,9,1,1,5,4,0,1,3,4,29,REGULAR SEASON STATS,L,101,115
2/20/2013,PHX,W 108-98,41,8,16,2,6,2,2,3,11,0,1,1,2,20,REGULAR SEASON STATS,W,108,98
2/22/2013,SA,W 107-101,45,6,17,3,9,4,5,4,6,0,1,2,2,19,REGULAR SEASON STATS,W,107,101
2/24/2013,MIN,W 100-99,34,6,15,1,5,5,5,5,5,0,5,5,6,18,REGULAR SEASON STATS,W,100,99
2/26/2013,IND,L 97-108,37,14,20,7,10,3,4,2,4,1,3,3,6,38,REGULAR SEASON STATS,L,97,108
2/27/2013,NY,L 105-109,48,18,28,11,13,7,7,6,7,0,3,3,4,54,REGULAR SEASON STATS,L,105,109
3/1/2013,BOS,L 86-94,42,6,22,3,11,10,10,1,6,0,1,2,4,25,REGULAR SEASON STATS,L,86,94
3/2/2013,PHI,L 97-104,42,11,20,3,9,5,7,3,9,0,3,2,4,30,REGULAR SEASON STATS,L,97,104
3/4/2013,TOR,W 125-118,42,8,16,2,5,8,8,5,12,0,0,5,6,26,REGULAR SEASON STATS,W,125,118
3/6/2013,SAC,W 87-83,34,3,11,2,5,5,5,5,8,0,2,4,6,13,REGULAR SEASON STATS,W,87,83
3/8/2013,HOU,L 88-94,43,8,21,3,8,5,7,5,8,0,1,5,1,24,REGULAR SEASON STATS,L,88,94
3/9/2013,MIL,L 93-103,39,7,18,2,6,0,0,2,10,0,0,4,4,16,REGULAR SEASON STATS,L,93,103
3/11/2013,NY,W 92-63,37,9,18,6,10,2,2,6,3,0,1,1,2,26,REGULAR SEASON STATS,W,92,63
3/13/2013,DET,W 105-97,43,11,17,5,7,4,4,2,8,0,1,0,4,31,REGULAR SEASON STATS,W,105,97
3/15/2013,CHI,L 95-113,30,2,13,0,5,4,4,0,4,0,0,2,1,8,REGULAR SEASON STATS,L,95,113
3/17/2013,HOU,W 108-78,45,12,22,5,11,0,0,5,11,1,2,1,3,29,REGULAR SEASON STATS,W,108,78
3/18/2013,NO,W 93-72,39,10,19,6,9,4,4,7,3,0,0,3,7,30,REGULAR SEASON STATS,W,93,72
3/20/2013,SA,L 93-104,36,8,20,4,8,4,5,4,3,0,2,0,3,24,REGULAR SEASON STATS,L,93,104
3/23/2013,WSH,W 101-92,32,13,18,6,10,3,4,2,8,0,2,2,3,35,REGULAR SEASON STATS,W,101,92
3/25/2013,LAL,W 109-103,43,9,24,3,9,4,7,7,10,0,0,4,2,25,REGULAR SEASON STATS,W,109,103
3/27/2013,SAC,L 98-105,46,5,18,2,9,5,6,5,12,0,4,3,3,17,REGULAR SEASON STATS,L,98,105
3/30/2013,POR,W 125-98,37,14,22,7,12,4,4,5,6,0,1,2,3,39,REGULAR SEASON STATS,W,125,98
4/3/2013,NO,W 98-88,36,6,14,4,10,4,4,3,9,0,1,5,2,20,REGULAR SEASON STATS,W,98,88
4/5/2013,PHX,W 111-107,41,6,15,3,8,3,3,1,15,0,4,5,4,18,REGULAR SEASON STATS,W,111,107
4/7/2013,UTAH,L 90-97,45,8,19,4,9,2,2,4,5,0,1,3,5,22,REGULAR SEASON STATS,L,90,97
4/9/2013,MIN,W 105-89,39,9,21,2,9,4,5,4,10,1,1,4,3,24,REGULAR SEASON STATS,W,105,89
4/11/2013,OKC,L 97-116,35,9,18,3,6,1,1,3,7,0,2,0,4,22,REGULAR SEASON STATS,L,97,116
4/12/2013,LAL,L 116-118,44,17,31,9,15,4,4,6,9,0,3,3,1,47,REGULAR SEASON STATS,L,116,118
4/15/2013,SA,W 116-106,39,13,23,7,13,2,2,8,5,0,2,0,3,35,REGULAR SEASON STATS,W,116,106
4/17/2013,POR,W 99-88,32,5,16,4,11,1,1,2,5,0,3,2,1,15,REGULAR SEASON STATS,W,99,88
