Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/8/2012,UTAH,W 83-80,12,1,3,0,1,0,0,2,6,0,1,2,1,2,,W,83,80
10/11/2012,MCH,W 108-100,23,4,8,2,4,3,3,4,10,0,1,4,1,13,,W,108,100
10/15/2012,DEN,L 98-104,24,10,15,4,5,1,1,1,2,0,1,3,5,25,,L,98,104
10/17/2012,SAC,W 98-88,23,8,14,2,4,1,1,5,4,0,2,6,1,19,,W,98,88
10/19/2012,POR,W 101-97,12,1,2,0,0,0,0,0,4,0,0,0,2,2,,W,101,97
10/31/2012,PHX,W 87-85,30,2,14,0,6,1,3,7,3,0,2,3,4,5,REGULAR SEASON STATS,W,87,85
11/2/2012,MEM,L 94-104,43,10,20,6,10,0,1,5,7,0,1,3,4,26,REGULAR SEASON STATS,L,94,104
11/3/2012,LAC,W 114-110,43,6,16,2,7,9,10,4,4,0,3,4,5,23,REGULAR SEASON STATS,W,114,110
11/5/2012,SAC,L 92-94,39,3,15,2,6,4,5,6,8,0,1,2,3,12,REGULAR SEASON STATS,L,92,94
11/7/2012,CLE,W 106-96,36,8,14,2,6,3,3,5,6,0,2,3,3,21,REGULAR SEASON STATS,W,106,96
11/9/2012,LAL,L 77-101,30,6,16,2,6,4,4,3,5,0,1,0,0,18,REGULAR SEASON STATS,L,77,101
11/10/2012,DEN,L 101-107,37,7,17,3,6,2,2,5,3,0,3,5,4,19,REGULAR SEASON STATS,L,101,107
11/14/2012,ATL,W 92-88,33,4,12,0,5,4,4,1,7,0,3,3,4,12,REGULAR SEASON STATS,W,92,88
11/16/2012,MIN,W 106-98,29,7,12,0,3,3,3,4,6,1,1,6,3,17,REGULAR SEASON STATS,W,106,98
11/18/2012,OKC,L 109-119,33,9,17,4,8,0,0,2,6,0,0,2,3,22,REGULAR SEASON STATS,L,109,119
11/19/2012,DAL,W 105-101,43,9,21,3,7,10,10,6,9,0,2,2,4,31,REGULAR SEASON STATS,W,105,101
11/21/2012,BKN,W 102-93,42,7,13,2,4,9,10,6,4,0,0,2,2,25,REGULAR SEASON STATS,W,102,93
11/23/2012,DEN,L 91-102,26,2,5,2,2,0,0,1,3,0,0,4,4,6,REGULAR SEASON STATS,L,91,102
11/24/2012,MIN,W 96-85,39,7,19,5,10,1,1,2,6,0,1,3,3,20,REGULAR SEASON STATS,W,96,85
11/29/2012,DEN,W 106-105,45,7,17,4,7,2,2,4,10,0,4,4,3,20,REGULAR SEASON STATS,W,106,105
12/1/2012,IND,W 103-92,37,7,14,3,5,3,3,1,11,0,2,4,4,20,REGULAR SEASON STATS,W,103,92
12/3/2012,ORL,L 94-102,44,9,21,3,6,4,5,5,11,0,2,0,1,25,REGULAR SEASON STATS,L,94,102
12/5/2012,DET,W 104-97,37,7,15,4,6,4,4,3,10,0,4,2,1,22,REGULAR SEASON STATS,W,104,97
12/7/2012,BKN,W 109-102,43,10,19,5,9,3,3,4,5,0,2,1,0,28,REGULAR SEASON STATS,W,109,102
12/8/2012,WSH,W 101-97,35,7,15,2,8,6,7,3,5,0,0,1,4,22,REGULAR SEASON STATS,W,101,97
12/10/2012,CHA,W 104-96,37,10,22,4,7,3,4,7,7,0,1,5,3,27,REGULAR SEASON STATS,W,104,96
12/12/2012,MIA,W 97-95,42,4,10,1,3,0,0,3,7,0,2,0,6,9,REGULAR SEASON STATS,W,97,95
12/14/2012,ORL,L 85-99,43,8,19,2,5,7,8,3,3,0,0,0,1,25,REGULAR SEASON STATS,L,85,99
12/15/2012,ATL,W 115-93,36,6,20,3,11,3,3,8,11,0,3,1,4,18,REGULAR SEASON STATS,W,115,93
12/18/2012,NO,W 103-96,39,5,13,1,3,2,2,5,3,0,0,2,2,13,REGULAR SEASON STATS,W,103,96
12/19/2012,SAC,L 127-131,42,11,24,7,12,3,3,6,4,1,1,6,4,32,REGULAR SEASON STATS,L,127,131
12/21/2012,CHA,W 115-100,36,9,17,8,13,1,1,3,8,2,0,2,2,27,REGULAR SEASON STATS,W,115,100
12/22/2012,LAL,L 115-118,45,8,23,3,10,1,1,8,7,0,4,4,4,20,REGULAR SEASON STATS,L,115,118
12/26/2012,UTAH,W 94-83,38,7,18,4,7,5,6,8,7,1,1,0,2,23,REGULAR SEASON STATS,W,94,83
12/28/2012,PHI,W 96-89,39,5,11,1,4,0,0,5,6,0,1,3,4,11,REGULAR SEASON STATS,W,96,89
12/29/2012,BOS,W 101-83,35,8,13,4,5,2,2,4,9,2,3,3,5,22,REGULAR SEASON STATS,W,101,83
1/2/2013,LAC,W 115-94,43,11,16,6,8,3,4,6,8,0,2,3,4,31,REGULAR SEASON STATS,W,115,94
1/5/2013,LAC,L 89-115,29,4,11,1,5,1,1,0,5,0,0,0,2,10,REGULAR SEASON STATS,L,89,115
