Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/7/2014,LAC,W 112-94,18,2,7,0,2,8,11,1,3,0,0,6,3,12,,W,112,94
10/9/2014,LAL,W 120-105,27,6,9,3,4,5,5,5,6,0,1,2,3,20,,W,120,105
10/12/2014,LAL,W 116-75,24,8,11,4,7,5,5,6,6,1,2,2,3,25,,W,116,75
10/16/2014,DEN,W 104-101,17,5,9,3,3,0,0,1,4,0,1,2,2,13,,W,104,101
10/17/2014,MIA,L 108-115,32,2,10,1,7,2,2,3,7,0,3,4,1,7,,L,108,115
10/19/2014,HOU,L 83-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,L,83,90
10/21/2014,LAC,W 125-107,31,9,13,4,5,5,8,2,6,1,3,1,6,27,,W,125,107
10/24/2014,DEN,W 119-112,34,5,15,3,7,4,4,2,11,0,2,1,3,17,,W,119,112
10/29/2014,SAC,W 95-77,37,7,17,2,9,8,9,10,5,0,6,5,4,24,REGULAR SEASON STATS,W,95,77
11/1/2014,LAL,W 127-104,34,10,19,3,8,8,8,5,10,0,3,3,2,31,REGULAR SEASON STATS,W,127,104
11/2/2014,POR,W 95-90,31,6,18,1,5,8,8,5,6,0,2,1,3,21,REGULAR SEASON STATS,W,95,90
11/5/2014,LAC,W 121-104,34,9,18,4,8,6,6,6,7,0,1,4,5,28,REGULAR SEASON STATS,W,121,104
11/8/2014,HOU,W 98-87,40,13,19,6,9,2,2,9,5,0,4,2,5,34,REGULAR SEASON STATS,W,98,87
11/9/2014,PHX,L 95-107,34,10,20,4,10,4,4,2,10,0,5,5,10,28,REGULAR SEASON STATS,L,95,107
11/11/2014,SA,L 100-113,36,7,18,0,7,2,2,6,5,0,0,2,3,16,REGULAR SEASON STATS,L,100,113
11/13/2014,BKN,W 107-99,32,6,12,3,7,2,2,3,5,0,0,5,3,17,REGULAR SEASON STATS,W,107,99
11/15/2014,CHA,W 112-87,28,8,15,3,6,0,1,5,9,0,1,3,1,19,REGULAR SEASON STATS,W,112,87
11/16/2014,LAL,W 136-115,30,10,19,5,9,5,5,4,15,0,1,0,3,30,REGULAR SEASON STATS,W,136,115
11/21/2014,UTAH,W 101-88,25,3,9,2,6,0,0,5,10,0,2,2,4,8,REGULAR SEASON STATS,W,101,88
11/23/2014,OKC,W 91-86,38,5,15,2,6,3,4,6,6,0,1,0,1,15,REGULAR SEASON STATS,W,91,86
11/25/2014,MIA,W 114-97,37,12,19,8,11,8,9,6,7,1,3,2,2,40,REGULAR SEASON STATS,W,114,97
11/26/2014,ORL,W 111-96,24,9,13,6,8,4,5,5,8,0,0,1,1,28,REGULAR SEASON STATS,W,111,96
11/28/2014,CHA,W 106-101,32,9,20,1,10,7,7,4,6,2,1,4,4,26,REGULAR SEASON STATS,W,106,101
11/30/2014,DET,W 104-93,28,5,9,1,3,5,6,3,10,0,1,2,1,16,REGULAR SEASON STATS,W,104,93
12/2/2014,ORL,W 98-97,36,8,17,3,9,3,3,4,5,0,0,2,4,22,REGULAR SEASON STATS,W,98,97
12/4/2014,NO,W 112-85,31,8,17,3,6,0,0,3,11,1,4,0,2,19,REGULAR SEASON STATS,W,112,85
12/6/2014,CHI,W 112-102,36,5,14,1,5,8,9,6,7,0,1,2,3,19,REGULAR SEASON STATS,W,112,102
12/8/2014,MIN,W 102-86,31,10,20,1,7,0,0,4,7,1,3,3,3,21,REGULAR SEASON STATS,W,102,86
12/10/2014,HOU,W 105-93,37,8,15,3,5,1,1,7,7,0,0,3,4,20,REGULAR SEASON STATS,W,105,93
12/13/2014,DAL,W 105-98,37,9,22,3,11,8,9,3,8,0,2,1,1,29,REGULAR SEASON STATS,W,105,98
12/14/2014,NO,W 128-122,40,11,21,6,10,6,6,7,7,0,1,1,6,34,REGULAR SEASON STATS,W,128,122
12/16/2014,MEM,L 98-105,39,9,25,1,10,0,0,7,6,0,4,2,3,19,REGULAR SEASON STATS,L,98,105
12/18/2014,OKC,W 114-109,42,14,24,5,12,1,1,7,9,1,4,0,4,34,REGULAR SEASON STATS,W,114,109
12/22/2014,SAC,W 128-108,26,5,12,1,5,1,1,2,11,0,3,1,1,12,REGULAR SEASON STATS,W,128,108
12/23/2014,LAL,L 105-115,30,10,14,2,5,0,0,2,6,0,3,0,7,22,REGULAR SEASON STATS,L,105,115
12/25/2014,LAC,L 86-100,36,5,12,1,5,3,4,9,7,0,2,3,5,14,REGULAR SEASON STATS,L,86,100
12/27/2014,MIN,W 110-97,31,9,18,4,9,3,4,3,6,0,3,3,3,25,REGULAR SEASON STATS,W,110,97
12/30/2014,PHI,W 126-86,27,4,7,3,6,2,2,3,9,0,3,3,3,13,REGULAR SEASON STATS,W,126,86
1/2/2015,TOR,W 126-105,34,10,18,5,11,7,7,5,12,0,1,3,0,32,REGULAR SEASON STATS,W,126,105
1/5/2015,OKC,W 117-91,31,7,14,1,4,4,4,9,6,0,4,2,2,19,REGULAR SEASON STATS,W,117,91
1/7/2015,IND,W 117-102,35,8,17,4,8,1,1,3,15,0,4,5,5,21,REGULAR SEASON STATS,W,117,102
