Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/27/2010,HOU,W 132-128,39,9,16,3,6,4,4,2,11,1,0,4,5,25,REGULAR SEASON STATS,W,132,128
10/29/2010,LAC,W 109-91,27,7,9,1,3,1,3,2,6,0,2,2,2,16,REGULAR SEASON STATS,W,109,91
10/31/2010,LAL,L 83-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,83,107
11/3/2010,MEM,W 115-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,115,109
11/5/2010,UTAH,W 85-78,33,7,17,1,4,5,5,1,6,0,2,5,5,20,REGULAR SEASON STATS,W,85,78
11/7/2010,DET,L 97-102,29,3,12,0,3,4,4,4,6,0,2,4,2,10,REGULAR SEASON STATS,L,97,102
11/8/2010,TOR,W 109-102,36,12,21,2,4,8,8,5,4,0,3,2,5,34,REGULAR SEASON STATS,W,109,102
11/10/2010,NY,W 122-117,45,11,20,1,1,2,3,6,8,1,2,4,2,25,REGULAR SEASON STATS,W,122,117
11/11/2010,CHI,L 90-120,31,7,18,2,5,1,2,3,6,0,5,2,5,17,REGULAR SEASON STATS,L,90,120
11/13/2010,MIL,L 72-79,30,3,14,0,3,1,2,2,4,1,3,5,2,7,REGULAR SEASON STATS,L,72,79
11/15/2010,DET,W 101-97,30,7,14,2,3,5,5,5,4,0,2,6,3,21,REGULAR SEASON STATS,W,101,97
11/19/2010,NY,L 119-125,42,9,21,3,6,8,9,5,8,0,1,4,4,29,REGULAR SEASON STATS,L,119,125
11/21/2010,LAL,L 89-117,24,5,10,1,3,2,2,3,2,2,1,3,0,13,REGULAR SEASON STATS,L,89,117
11/22/2010,DEN,L 89-106,41,8,21,1,6,0,0,7,5,0,3,3,2,17,REGULAR SEASON STATS,L,89,106
11/24/2010,HOU,L 101-111,36,8,19,0,2,5,5,4,6,0,4,6,1,21,REGULAR SEASON STATS,L,101,111
11/26/2010,MEM,L 111-116,30,8,13,4,5,6,6,2,4,0,1,5,3,26,REGULAR SEASON STATS,L,111,116
11/27/2010,MIN,W 104-94,28,6,10,2,3,6,7,3,7,0,3,5,1,20,REGULAR SEASON STATS,W,104,94
11/30/2010,SA,L 98-118,40,13,22,3,6,3,3,3,5,1,1,2,5,32,REGULAR SEASON STATS,L,98,118
12/2/2010,PHX,L 101-107,34,4,10,1,3,0,0,1,7,0,4,4,4,9,REGULAR SEASON STATS,L,101,107
12/5/2010,OKC,L 109-114,46,14,20,4,7,7,7,1,6,1,2,5,5,39,REGULAR SEASON STATS,L,109,114
12/7/2010,DAL,L 100-105,42,8,16,3,5,2,2,6,4,0,2,2,6,21,REGULAR SEASON STATS,L,100,105
12/8/2010,SA,L 94-111,11,0,2,0,0,0,0,1,3,0,0,2,2,0,REGULAR SEASON STATS,L,94,111
12/10/2010,MIA,L 84-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,84,106
12/13/2010,UTAH,L 95-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,95,108
12/14/2010,MIN,W 108-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,108,99
12/18/2010,POR,L 95-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,95,96
12/20/2010,HOU,L 112-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,112,121
12/21/2010,SAC,W 117-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,117,109
12/25/2010,POR,W 109-102,29,2,15,0,5,0,0,4,11,0,0,2,2,4,REGULAR SEASON STATS,W,109,102
12/27/2010,PHI,W 110-95,28,5,13,4,6,3,3,5,8,0,1,5,2,17,REGULAR SEASON STATS,W,110,95
12/29/2010,ATL,L 93-103,29,4,13,0,3,1,1,5,12,0,0,2,3,9,REGULAR SEASON STATS,L,93,103
12/31/2010,CHA,W 96-95,36,10,17,4,5,0,0,1,3,0,1,3,3,24,REGULAR SEASON STATS,W,96,95
1/1/2011,MIA,L 107-114,36,7,12,1,2,0,0,2,6,0,3,5,1,15,REGULAR SEASON STATS,L,107,114
1/3/2011,ORL,L 90-110,35,5,13,3,6,2,2,6,5,0,2,3,5,15,REGULAR SEASON STATS,L,90,110
1/5/2011,NO,W 110-103,40,6,11,1,3,8,8,3,5,0,4,3,2,21,REGULAR SEASON STATS,W,110,103
1/7/2011,CLE,W 116-98,25,4,7,3,4,4,4,2,4,1,2,2,0,15,REGULAR SEASON STATS,W,116,98
1/9/2011,LAC,L 91-105,26,2,13,0,6,4,5,5,4,0,1,4,2,8,REGULAR SEASON STATS,L,91,105
1/12/2011,LAL,L 110-115,38,5,12,1,6,4,4,4,10,0,2,3,3,15,REGULAR SEASON STATS,L,110,115
1/14/2011,LAC,W 122-112,27,7,15,5,7,4,4,4,4,0,1,2,2,23,REGULAR SEASON STATS,W,122,112
1/17/2011,NJ,W 109-100,23,4,10,2,5,3,4,2,6,1,0,4,2,13,REGULAR SEASON STATS,W,109,100
1/19/2011,IND,W 110-108,33,4,10,0,3,3,3,4,8,0,2,1,1,11,REGULAR SEASON STATS,W,110,108
1/21/2011,SAC,W 119-112,44,12,21,3,7,7,7,3,3,0,4,2,4,34,REGULAR SEASON STATS,W,119,112
1/22/2011,LAC,L 109-113,41,12,23,3,9,5,5,6,8,1,1,5,2,32,REGULAR SEASON STATS,L,109,113
1/24/2011,SA,L 102-113,36,6,15,2,5,0,0,6,5,1,0,4,4,14,REGULAR SEASON STATS,L,102,113
1/26/2011,NO,L 103-112,39,8,13,1,3,3,3,3,6,0,2,1,5,20,REGULAR SEASON STATS,L,103,112
1/28/2011,CHA,L 113-121,43,8,12,4,5,7,7,3,5,0,2,5,3,27,REGULAR SEASON STATS,L,113,121
1/30/2011,UTAH,W 96-81,35,10,18,3,8,4,4,6,7,1,2,2,2,27,REGULAR SEASON STATS,W,96,81
2/3/2011,MIL,W 100-94,34,6,11,2,4,2,2,5,5,1,1,2,7,16,REGULAR SEASON STATS,W,100,94
2/5/2011,CHI,W 101-90,44,9,15,2,4,3,3,6,8,0,1,1,2,23,REGULAR SEASON STATS,W,101,90
