Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/28/2009,HOU,L 107-108,36,7,12,0,1,0,0,2,7,0,4,2,2,14,REGULAR SEASON STATS,L,107,108
10/30/2009,PHX,L 101-123,39,5,9,2,3,0,0,2,4,0,1,5,3,12,REGULAR SEASON STATS,L,101,123
11/4/2009,MEM,W 113-105,28,3,6,1,2,0,0,5,9,0,2,4,1,7,REGULAR SEASON STATS,W,113,105
11/6/2009,LAC,L 90-118,22,1,5,0,1,3,4,1,3,0,0,6,0,5,REGULAR SEASON STATS,L,90,118
11/8/2009,SAC,L 107-120,31,4,8,1,2,0,2,4,6,0,0,4,5,9,REGULAR SEASON STATS,L,107,120
11/9/2009,MIN,W 146-105,30,2,8,1,2,3,4,2,5,0,1,1,2,8,REGULAR SEASON STATS,W,146,105
11/11/2009,IND,L 94-108,21,3,7,0,2,0,0,1,4,0,1,2,3,6,REGULAR SEASON STATS,L,94,108
11/13/2009,NY,W 121-107,3,0,0,0,0,0,0,0,0,1,0,1,0,0,REGULAR SEASON STATS,W,121,107
11/14/2009,MIL,L 125-129,26,6,9,2,2,0,0,4,2,1,2,5,1,14,REGULAR SEASON STATS,L,125,129
11/17/2009,CLE,L 108-114,41,6,10,2,6,0,1,5,7,0,0,2,3,14,REGULAR SEASON STATS,L,108,114
11/18/2009,BOS,L 95-109,35,4,10,1,4,4,4,0,7,0,4,3,6,13,REGULAR SEASON STATS,L,95,109
11/20/2009,POR,W 108-94,46,3,9,2,3,4,5,6,8,1,1,6,1,12,REGULAR SEASON STATS,W,108,94
11/24/2009,DAL,W 111-103,35,6,12,2,4,4,4,4,6,0,3,5,4,18,REGULAR SEASON STATS,W,111,103
11/25/2009,SA,L 104-118,34,5,16,1,4,0,0,7,5,2,1,3,6,11,REGULAR SEASON STATS,L,104,118
11/28/2009,LAL,L 97-130,36,5,15,1,5,2,2,4,8,0,0,0,1,13,REGULAR SEASON STATS,L,97,130
11/30/2009,IND,W 126-107,20,2,5,1,2,2,2,2,4,0,3,2,2,7,REGULAR SEASON STATS,W,126,107
12/1/2009,DEN,L 107-135,41,4,14,2,6,0,0,4,6,2,2,2,1,10,REGULAR SEASON STATS,L,107,135
12/3/2009,HOU,L 109-111,32,4,8,1,3,2,2,5,2,1,2,3,4,11,REGULAR SEASON STATS,L,109,111
12/5/2009,ORL,L 118-126,46,6,12,0,2,1,1,3,3,0,1,4,3,13,REGULAR SEASON STATS,L,118,126
12/7/2009,OKC,L 88-104,36,9,14,2,4,2,2,4,2,0,4,5,5,22,REGULAR SEASON STATS,L,88,104
12/9/2009,NJ,W 105-89,30,6,13,1,4,1,2,4,4,0,3,4,4,14,REGULAR SEASON STATS,W,105,89
12/11/2009,CHI,L 91-96,27,3,9,0,3,0,0,3,1,0,1,0,0,6,REGULAR SEASON STATS,L,91,96
12/12/2009,DET,L 95-104,38,5,10,3,4,6,6,2,4,1,4,4,4,19,REGULAR SEASON STATS,L,95,104
12/14/2009,PHI,L 101-117,36,5,13,1,4,3,4,4,4,1,4,5,4,14,REGULAR SEASON STATS,L,101,117
12/16/2009,SA,L 91-103,25,4,11,0,2,0,0,4,3,0,4,5,1,8,REGULAR SEASON STATS,L,91,103
12/18/2009,WSH,L 109-118,46,9,17,5,9,4,4,8,4,0,3,4,2,27,REGULAR SEASON STATS,L,109,118
12/22/2009,MEM,L 108-121,41,6,15,2,6,0,0,7,8,0,0,2,4,14,REGULAR SEASON STATS,L,108,121
12/23/2009,NO,L 102-108,47,6,13,3,5,2,2,10,7,0,2,5,2,17,REGULAR SEASON STATS,L,102,108
12/26/2009,PHX,W 132-127,27,4,10,3,4,2,2,3,4,0,3,4,1,13,REGULAR SEASON STATS,W,132,127
12/28/2009,BOS,W 103-99,11,0,4,0,1,0,1,2,0,0,1,3,1,0,REGULAR SEASON STATS,W,103,99
12/29/2009,LAL,L 118-124,23,6,10,0,1,3,3,3,3,0,0,3,4,15,REGULAR SEASON STATS,L,118,124
1/2/2010,POR,L 89-105,29,4,10,1,2,0,0,1,1,0,1,4,3,9,REGULAR SEASON STATS,L,89,105
1/5/2010,DEN,L 122-123,40,10,13,6,6,0,0,5,6,0,3,3,2,26,REGULAR SEASON STATS,L,122,123
1/6/2010,MIN,W 107-101,30,7,11,0,2,2,2,1,4,0,2,6,1,16,REGULAR SEASON STATS,W,107,101
1/8/2010,SAC,W 108-101,34,5,10,1,2,1,2,3,4,0,1,3,2,12,REGULAR SEASON STATS,W,108,101
1/11/2010,CLE,L 114-117,36,8,15,1,2,4,5,7,5,1,1,4,2,21,REGULAR SEASON STATS,L,114,117
1/13/2010,MIA,L 102-115,33,3,10,3,5,0,0,4,4,0,0,1,4,9,REGULAR SEASON STATS,L,102,115
1/15/2010,MIL,L 104-113,48,7,17,1,4,3,3,6,4,1,6,6,4,18,REGULAR SEASON STATS,L,104,113
1/18/2010,CHI,W 114-97,43,9,18,5,8,3,3,10,6,1,1,4,5,26,REGULAR SEASON STATS,W,114,97
1/20/2010,DEN,L 118-123,49,6,17,3,8,0,0,3,6,0,1,2,3,15,REGULAR SEASON STATS,L,118,123
1/22/2010,NJ,W 111-79,48,11,21,3,7,7,8,2,7,0,4,4,2,32,REGULAR SEASON STATS,W,111,79
1/23/2010,PHX,L 103-112,40,10,25,4,9,1,1,5,2,0,0,4,1,25,REGULAR SEASON STATS,L,103,112
1/26/2010,SAC,L 96-99,45,10,22,3,10,4,5,9,6,0,3,3,1,27,REGULAR SEASON STATS,L,96,99
1/27/2010,NO,L 110-123,41,7,13,1,3,0,0,5,8,0,3,4,5,15,REGULAR SEASON STATS,L,110,123
1/29/2010,CHA,L 110-121,41,8,15,2,4,4,4,1,9,0,3,3,1,22,REGULAR SEASON STATS,L,110,121
1/31/2010,OKC,L 104-112,36,4,10,2,2,4,4,4,5,0,1,2,5,14,REGULAR SEASON STATS,L,104,112
2/2/2010,HOU,L 97-119,30,6,18,2,5,0,0,2,4,0,1,1,0,14,REGULAR SEASON STATS,L,97,119
2/3/2010,DAL,L 101-110,27,1,6,0,2,4,4,0,3,0,0,2,3,6,REGULAR SEASON STATS,L,101,110
2/6/2010,OKC,L 95-104,27,9,15,3,7,2,3,1,4,0,2,3,3,23,REGULAR SEASON STATS,L,95,104
2/8/2010,DAL,L 117-127,48,9,20,1,5,6,6,2,9,0,2,4,3,25,REGULAR SEASON STATS,L,117,127
2/10/2010,LAC,W 132-102,46,11,22,7,11,7,8,10,13,0,3,4,6,36,REGULAR SEASON STATS,W,132,102
2/16/2010,LAL,L 94-104,44,5,21,1,10,0,0,10,8,0,1,5,4,11,REGULAR SEASON STATS,L,94,104
2/17/2010,SAC,W 130-98,40,10,15,1,4,3,3,6,15,0,3,2,3,24,REGULAR SEASON STATS,W,130,98
2/19/2010,UTAH,L 89-100,39,4,9,3,6,2,2,6,7,0,3,1,10,13,REGULAR SEASON STATS,L,89,100
2/21/2010,ATL,W 108-104,45,13,18,1,3,5,5,9,3,0,1,3,5,32,REGULAR SEASON STATS,W,108,104
2/23/2010,PHI,L 102-110,38,8,22,1,8,0,1,6,5,0,0,2,2,17,REGULAR SEASON STATS,L,102,110
2/25/2010,DEN,L 112-127,42,11,19,2,5,6,6,7,13,1,2,1,2,30,REGULAR SEASON STATS,L,112,127
2/27/2010,DET,W 95-88,48,11,25,3,6,2,3,5,4,0,1,4,5,27,REGULAR SEASON STATS,W,95,88
3/2/2010,MIA,L 106-110,43,7,17,3,8,1,1,2,8,0,2,5,3,18,REGULAR SEASON STATS,L,106,110
3/3/2010,ORL,L 90-117,32,3,12,1,2,2,2,3,7,0,2,2,5,9,REGULAR SEASON STATS,L,90,117
3/5/2010,ATL,L 122-127,48,11,19,5,9,4,4,5,11,0,2,1,7,31,REGULAR SEASON STATS,L,122,127
3/6/2010,CHA,L 90-101,48,8,23,4,8,5,6,5,4,0,0,1,3,25,REGULAR SEASON STATS,L,90,101
3/8/2010,NO,L 131-135,34,5,13,2,4,0,0,3,6,0,1,2,4,12,REGULAR SEASON STATS,L,131,135
3/11/2010,POR,L 105-110,33,6,15,2,7,1,1,5,3,0,2,5,4,15,REGULAR SEASON STATS,L,105,110
3/13/2010,TOR,W 124-112,42,13,21,5,8,4,4,6,10,1,4,1,2,35,REGULAR SEASON STATS,W,124,112
3/15/2010,LAL,L 121-124,34,11,19,5,9,2,2,5,9,0,1,4,0,29,REGULAR SEASON STATS,L,121,124
3/17/2010,NO,W 131-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,131,121
3/19/2010,SA,L 116-147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,116,147
3/20/2010,MEM,L 107-123,25,4,10,1,3,0,0,4,6,1,0,2,2,9,REGULAR SEASON STATS,L,107,123
3/22/2010,PHX,L 131-133,34,6,15,2,5,0,0,4,8,0,4,4,1,14,REGULAR SEASON STATS,L,131,133
