Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
12/3/2013,TOR,W 112-103,43,8,15,3,7,8,10,3,10,1,5,1,3,27,REGULAR SEASON STATS,W,112,103
12/6/2013,HOU,L 83-105,32,5,14,1,5,11,11,1,5,0,3,4,8,22,REGULAR SEASON STATS,L,83,105
12/7/2013,MEM,W 108-82,45,7,16,2,7,6,7,6,15,1,0,4,1,22,REGULAR SEASON STATS,W,108,82
12/9/2013,CHA,L 111-115,46,14,32,5,16,10,12,6,9,2,0,4,4,43,REGULAR SEASON STATS,L,111,115
12/11/2013,DAL,W 95-93,44,13,25,6,11,1,1,4,10,0,3,3,8,33,REGULAR SEASON STATS,W,95,93
12/13/2013,HOU,L 112-116,39,5,12,1,5,9,11,2,9,0,0,6,6,20,REGULAR SEASON STATS,L,112,116
12/15/2013,PHX,L 102-106,42,8,17,4,7,10,11,6,7,0,3,2,6,30,REGULAR SEASON STATS,L,102,106
12/17/2013,NO,W 104-93,33,11,19,2,7,4,4,4,11,0,3,3,3,28,REGULAR SEASON STATS,W,104,93
12/19/2013,SA,L 102-104,40,12,28,6,16,0,0,2,15,0,4,1,5,30,REGULAR SEASON STATS,L,102,104
12/21/2013,LAL,W 102-83,33,5,15,4,9,4,4,6,10,0,3,2,1,18,REGULAR SEASON STATS,W,102,83
12/23/2013,DEN,W 89-81,35,5,14,2,3,2,4,3,7,1,2,4,2,14,REGULAR SEASON STATS,W,89,81
12/25/2013,LAC,W 105-103,42,5,17,2,6,3,3,6,11,0,1,1,2,15,REGULAR SEASON STATS,W,105,103
12/27/2013,PHX,W 115-86,34,5,17,1,6,3,5,13,16,0,1,3,7,14,REGULAR SEASON STATS,W,115,86
12/29/2013,CLE,W 108-104,48,10,23,5,10,4,5,9,11,1,2,3,5,29,REGULAR SEASON STATS,W,108,104
12/31/2013,ORL,W 94-81,30,4,10,1,5,0,0,5,8,0,0,1,6,9,REGULAR SEASON STATS,W,94,81
1/2/2014,MIA,W 123-114,44,13,22,8,15,2,3,2,12,0,2,4,4,36,REGULAR SEASON STATS,W,123,114
1/3/2014,ATL,W 101-100,35,7,15,1,7,7,8,8,9,0,5,5,9,22,REGULAR SEASON STATS,W,101,100
1/5/2014,WSH,W 112-96,38,5,17,1,5,3,3,3,10,1,1,5,2,14,REGULAR SEASON STATS,W,112,96
1/7/2014,MIL,W 101-80,36,5,18,2,11,3,4,0,6,0,1,2,7,15,REGULAR SEASON STATS,W,101,80
1/8/2014,BKN,L 98-102,45,11,25,2,10,10,10,5,7,0,3,5,7,34,REGULAR SEASON STATS,L,98,102
1/10/2014,BOS,W 99-97,40,7,18,3,8,2,3,7,4,0,1,1,4,19,REGULAR SEASON STATS,W,99,97
1/15/2014,DEN,L 116-123,40,7,19,4,13,6,7,5,7,0,0,4,2,24,REGULAR SEASON STATS,L,116,123
1/17/2014,OKC,L 121-127,38,11,18,6,10,9,11,3,11,0,3,2,7,37,REGULAR SEASON STATS,L,121,127
1/18/2014,NO,W 97-87,38,10,22,2,9,6,6,6,8,0,4,2,0,28,REGULAR SEASON STATS,W,97,87
1/20/2014,IND,L 94-102,41,9,20,3,11,3,4,3,9,0,0,2,2,24,REGULAR SEASON STATS,L,94,102
1/24/2014,MIN,L 120-121,37,12,21,6,10,3,3,3,15,0,1,3,5,33,REGULAR SEASON STATS,L,120,121
1/26/2014,POR,W 103-88,35,13,23,5,8,7,10,7,8,0,2,1,2,38,REGULAR SEASON STATS,W,103,88
1/28/2014,WSH,L 85-88,38,8,23,2,7,5,6,2,4,0,4,5,6,23,REGULAR SEASON STATS,L,85,88
1/30/2014,LAC,W 111-92,34,8,10,4,4,2,2,4,7,1,1,3,3,22,REGULAR SEASON STATS,W,111,92
1/31/2014,UTAH,W 95-90,38,14,26,8,13,8,9,2,4,0,0,0,2,44,REGULAR SEASON STATS,W,95,90
2/4/2014,CHA,L 75-91,38,8,18,1,7,0,0,3,11,0,0,2,2,17,REGULAR SEASON STATS,L,75,91
2/6/2014,CHI,W 102-87,43,13,19,4,6,4,4,3,9,0,1,3,2,34,REGULAR SEASON STATS,W,102,87
2/8/2014,PHX,L 109-122,41,10,20,3,10,5,6,2,9,0,0,2,2,28,REGULAR SEASON STATS,L,109,122
2/10/2014,PHI,W 123-80,27,7,11,6,9,3,3,5,8,0,1,3,7,23,REGULAR SEASON STATS,W,123,80
2/12/2014,MIA,L 110-111,39,8,14,4,4,9,9,5,7,0,1,3,5,29,REGULAR SEASON STATS,L,110,111
2/16/2014,EAST,L 155-163,28,4,14,2,11,2,2,3,11,0,1,1,2,12,REGULAR SEASON STATS,L,155,163
2/19/2014,SAC,W 101-92,36,5,14,1,4,2,3,1,8,0,1,2,0,13,REGULAR SEASON STATS,W,101,92
2/20/2014,HOU,W 102-99,38,8,15,5,8,4,4,2,6,0,2,5,2,25,REGULAR SEASON STATS,W,102,99
2/22/2014,BKN,W 93-86,32,7,13,3,4,0,0,5,8,0,2,2,2,17,REGULAR SEASON STATS,W,93,86
2/24/2014,DET,W 104-96,36,6,15,3,9,4,5,8,9,0,0,0,4,19,REGULAR SEASON STATS,W,104,96
2/26/2014,CHI,L 83-103,28,2,10,1,5,0,0,3,5,0,0,0,5,5,REGULAR SEASON STATS,L,83,103
2/28/2014,NY,W 126-103,30,9,19,5,11,4,4,11,11,1,0,2,4,27,REGULAR SEASON STATS,W,126,103
3/2/2014,TOR,L 98-104,43,13,27,4,11,4,6,4,7,0,1,3,6,34,REGULAR SEASON STATS,L,98,104
3/4/2014,IND,W 98-96,32,7,18,2,5,3,3,8,6,0,2,5,4,19,REGULAR SEASON STATS,W,98,96
3/5/2014,BOS,W 108-88,22,6,10,1,4,1,1,3,4,0,1,3,0,14,REGULAR SEASON STATS,W,108,88
3/7/2014,ATL,W 111-97,30,5,10,1,4,2,2,3,7,0,1,1,0,13,REGULAR SEASON STATS,W,111,97
3/9/2014,PHX,W 113-107,30,7,16,1,5,3,3,2,9,0,0,1,1,18,REGULAR SEASON STATS,W,113,107
3/11/2014,DAL,W 108-85,22,4,12,1,5,1,1,2,4,0,3,1,3,10,REGULAR SEASON STATS,W,108,85
3/12/2014,LAC,L 98-111,29,5,11,2,5,1,1,5,11,0,1,3,4,13,REGULAR SEASON STATS,L,98,111
3/14/2014,CLE,L 94-103,36,8,17,5,10,6,7,4,8,0,3,1,4,27,REGULAR SEASON STATS,L,94,103
3/16/2014,POR,W 113-112,40,11,24,6,12,9,9,4,5,0,1,4,5,37,REGULAR SEASON STATS,W,113,112
3/18/2014,ORL,W 103-89,32,9,13,3,6,2,2,3,5,0,0,1,3,23,REGULAR SEASON STATS,W,103,89
3/20/2014,MIL,W 115-110,38,9,14,3,5,10,10,3,10,0,1,2,4,31,REGULAR SEASON STATS,W,115,110
3/22/2014,SA,L 90-99,39,5,13,1,4,9,9,6,6,0,1,0,6,20,REGULAR SEASON STATS,L,90,99
3/28/2014,MEM,W 100-93,38,13,22,5,8,2,3,5,8,2,1,1,3,33,REGULAR SEASON STATS,W,100,93
3/30/2014,NY,L 84-89,41,10,21,6,12,6,8,4,1,0,1,2,2,32,REGULAR SEASON STATS,L,84,89
4/1/2014,DAL,W 122-120,43,10,17,3,8,0,0,3,10,0,2,2,1,23,REGULAR SEASON STATS,W,122,120
4/2/2014,SA,L 90-111,31,5,15,1,4,0,0,0,10,0,1,2,4,11,REGULAR SEASON STATS,L,90,111
4/4/2014,SAC,W 102-69,29,5,12,2,5,1,1,2,5,0,1,2,1,13,REGULAR SEASON STATS,W,102,69
4/6/2014,UTAH,W 130-102,29,12,18,5,10,2,2,1,16,0,3,2,5,31,REGULAR SEASON STATS,W,130,102
4/10/2014,DEN,L 99-100,34,8,19,2,7,6,6,7,6,0,4,1,2,24,REGULAR SEASON STATS,L,99,100
4/11/2014,LAL,W 112-95,35,12,20,4,5,2,2,10,12,0,2,3,6,30,REGULAR SEASON STATS,W,112,95
4/13/2014,POR,L 117-119,45,16,29,7,14,8,8,1,5,0,3,3,4,47,REGULAR SEASON STATS,L,117,119
4/14/2014,MIN,W 130-120,42,10,21,7,13,5,5,5,15,0,3,4,5,32,REGULAR SEASON STATS,W,130,120
4/16/2014,DEN,W 116-112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,116,112
