Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/5/2013,LAL,L 95-104,15,2,6,0,4,1,1,4,2,0,2,2,1,5,,L,95,104
10/7/2013,SAC,W 94-81,27,5,12,4,7,9,10,3,6,0,0,4,5,23,,W,94,81
10/8/2013,UTAH,L 78-101,21,4,14,2,4,0,0,4,3,0,0,1,0,10,,L,78,101
10/15/2013,LAL,W 100-95,37,7,18,3,10,7,8,3,7,0,3,3,2,24,,W,100,95
10/18/2013,LAL,W 115-89,21,3,12,1,5,2,2,3,3,1,1,3,2,9,,W,115,89
10/23/2013,SAC,L 90-91,36,8,15,5,10,3,4,2,6,1,3,4,4,24,,L,90,91
10/30/2013,LAL,W 125-94,24,4,10,2,5,0,0,4,6,0,1,4,1,10,REGULAR SEASON STATS,W,125,94
10/31/2013,LAC,L 115-126,38,14,23,9,14,1,1,3,9,0,0,3,11,38,REGULAR SEASON STATS,L,115,126
11/2/2013,SAC,W 98-87,33,8,13,5,8,1,1,1,12,0,1,4,7,22,REGULAR SEASON STATS,W,98,87
11/4/2013,PHI,W 110-90,29,7,16,2,9,2,2,10,12,1,5,0,2,18,REGULAR SEASON STATS,W,110,90
11/6/2013,MIN,W 106-93,24,2,8,0,3,1,2,1,7,0,1,1,1,5,REGULAR SEASON STATS,W,106,93
11/8/2013,SA,L 74-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,74,76
11/9/2013,MEM,L 90-108,34,7,18,4,10,4,4,2,5,0,3,1,3,22,REGULAR SEASON STATS,L,90,108
11/12/2013,DET,W 113-95,29,7,10,2,4,9,9,2,8,0,1,4,2,25,REGULAR SEASON STATS,W,113,95
11/14/2013,OKC,W 116-115,43,8,22,4,8,2,3,5,9,0,1,4,2,22,REGULAR SEASON STATS,W,116,115
11/16/2013,UTAH,W 102-88,39,7,20,0,5,1,2,3,11,0,1,1,0,15,REGULAR SEASON STATS,W,102,88
11/18/2013,UTAH,W 98-87,33,7,15,4,7,4,4,6,8,0,3,4,5,22,REGULAR SEASON STATS,W,98,87
11/20/2013,MEM,L 81-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,81,88
11/22/2013,LAL,L 95-102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,95,102
11/23/2013,POR,L 101-113,37,8,21,2,9,4,5,3,11,0,1,1,5,22,REGULAR SEASON STATS,L,101,113
11/26/2013,NO,W 102-101,42,7,20,2,5,0,0,8,9,1,3,2,2,16,REGULAR SEASON STATS,W,102,101
11/27/2013,DAL,L 99-103,42,9,19,6,10,5,5,4,8,0,1,3,6,29,REGULAR SEASON STATS,L,99,103
11/29/2013,OKC,L 112-113,45,13,26,4,10,2,3,11,5,0,0,4,3,32,REGULAR SEASON STATS,L,112,113
12/1/2013,SAC,W 115-113,40,14,24,5,8,3,3,2,10,1,3,1,7,36,REGULAR SEASON STATS,W,115,113
