Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
4/16/2016,HOU,W 104-78,20,8,13,5,7,3,3,7,2,0,3,0,4,24,Conference Quarterfinals,W,104,78
4/18/2016,HOU,W 115-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,115,106
4/21/2016,HOU,L 96-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,L,96,97
4/24/2016,HOU,W 121-94,19,2,9,1,7,1,1,0,5,0,1,0,5,6,Conference Quarterfinals,W,121,94
4/27/2016,HOU,W 114-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,114,81
5/1/2016,POR,W 118-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,118,106
5/3/2016,POR,W 110-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,110,99
5/7/2016,POR,L 108-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,L,108,120
5/9/2016,POR,W 132-125,37,16,32,5,16,3,3,9,8,0,0,2,4,40,Conference Semifinals,W,132,125
5/11/2016,POR,W 125-121,37,10,20,5,11,4,4,5,11,0,1,2,4,29,Conference Semifinals,W,125,121
5/16/2016,OKC,L 102-108,40,9,22,6,14,2,2,10,7,0,3,3,7,26,Conference Finals,L,102,108
5/18/2016,OKC,W 118-91,30,9,15,5,8,5,5,2,3,0,1,0,3,28,Conference Finals,W,118,91
5/22/2016,OKC,L 105-133,30,7,17,3,11,7,8,5,3,0,2,1,1,24,Conference Finals,L,105,133
5/24/2016,OKC,L 94-118,39,6,20,2,10,5,7,5,5,0,2,2,6,19,Conference Finals,L,94,118
5/26/2016,OKC,W 120-111,37,9,20,3,8,10,10,7,6,0,5,0,5,31,Conference Finals,W,120,111
5/28/2016,OKC,W 108-101,41,9,22,6,14,7,9,10,9,0,2,3,3,31,Conference Finals,W,108,101
5/30/2016,OKC,W 96-88,40,13,24,7,12,3,3,5,8,0,0,1,3,36,Conference Finals,W,96,88
6/2/2016,CLE,W 104-89,36,4,15,3,8,0,0,5,6,0,0,2,5,11,NBA Finals,W,104,89
6/5/2016,CLE,W 110-77,25,7,11,4,8,0,0,9,4,1,0,4,4,18,NBA Finals,W,110,77
6/8/2016,CLE,L 90-120,31,6,13,3,9,4,4,1,3,0,2,4,6,19,NBA Finals,L,90,120
6/10/2016,CLE,W 108-97,40,11,25,7,13,9,10,5,6,0,2,3,3,38,NBA Finals,W,108,97
6/13/2016,CLE,L 97-112,40,8,21,5,15,4,4,7,4,3,0,2,4,25,NBA Finals,L,97,112
6/16/2016,CLE,L 101-115,35,8,20,6,13,8,9,2,1,0,1,6,4,30,NBA Finals,L,101,115
6/19/2016,CLE,L 89-93,39,6,19,4,14,1,1,5,2,1,1,4,4,17,NBA Finals,L,89,93
