Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
4/14/2018,SA,W 113-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,113,92
4/16/2018,SA,W 116-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,116,101
4/19/2018,SA,W 110-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,110,97
4/22/2018,SA,L 90-103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,L,90,103
4/24/2018,SA,W 99-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Quarterfinals,W,99,91
4/28/2018,NO,W 123-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Conference Semifinals,W,123,101
5/1/2018,NO,W 121-116,27,8,15,5,10,7,7,7,2,0,3,2,6,28,Conference Semifinals,W,121,116
5/4/2018,NO,L 100-119,29,6,19,3,9,4,4,6,2,2,4,1,3,19,Conference Semifinals,L,100,119
5/6/2018,NO,W 118-92,32,8,17,4,9,3,3,1,2,0,0,1,2,23,Conference Semifinals,W,118,92
5/8/2018,NO,W 113-104,37,10,16,3,6,5,5,7,8,0,1,2,4,28,Conference Semifinals,W,113,104
5/14/2018,HOU,W 119-106,35,8,15,1,5,1,2,6,8,1,2,5,1,18,Conference Finals,W,119,106
5/16/2018,HOU,L 105-127,34,7,19,1,8,1,1,7,7,0,0,3,2,16,Conference Finals,L,105,127
5/20/2018,HOU,W 126-85,34,13,23,5,12,4,4,6,1,1,0,2,1,35,Conference Finals,W,126,85
5/22/2018,HOU,L 92-95,39,10,26,6,13,2,2,6,2,0,2,3,3,28,Conference Finals,L,92,95
5/24/2018,HOU,L 94-98,41,8,17,2,8,4,5,7,6,0,4,2,3,22,Conference Finals,L,94,98
5/26/2018,HOU,W 115-86,40,12,23,5,14,0,0,5,6,3,0,2,2,29,Conference Finals,W,115,86
5/28/2018,HOU,W 101-92,44,10,22,7,15,0,0,9,10,1,4,4,5,27,Conference Finals,W,101,92
5/31/2018,CLE,W 124-114,46,11,23,5,11,2,2,6,9,0,1,1,2,29,NBA Finals,W,124,114
6/3/2018,CLE,W 122-103,38,11,26,9,17,2,2,7,8,0,1,3,5,33,NBA Finals,W,122,103
6/6/2018,CLE,W 110-102,39,3,16,1,10,4,4,5,6,0,1,3,2,11,NBA Finals,W,110,102
6/8/2018,CLE,W 108-85,39,12,27,7,15,6,6,6,4,3,3,4,2,37,NBA Finals,W,108,85
