Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
4/19/2014,LAC,W 109-105,45,6,16,2,6,0,0,3,7,0,3,1,7,14,Conference Quarterfinals,W,109,105
4/21/2014,LAC,L 98-138,31,9,17,1,7,5,5,1,8,0,2,4,2,24,Conference Quarterfinals,L,98,138
4/24/2014,LAC,L 96-98,43,5,12,3,8,3,4,2,15,0,1,3,3,16,Conference Quarterfinals,L,96,98
4/27/2014,LAC,W 118-97,42,10,20,7,14,6,7,7,7,1,1,3,2,33,Conference Quarterfinals,W,118,97
4/29/2014,LAC,L 103-113,44,5,10,4,7,3,3,3,4,0,2,2,8,17,Conference Quarterfinals,L,103,113
5/1/2014,LAC,W 100-99,45,9,24,2,8,4,7,4,9,0,0,1,2,24,Conference Quarterfinals,W,100,99
5/3/2014,LAC,L 121-126,46,7,17,3,7,16,16,5,9,0,3,4,2,33,Conference Quarterfinals,L,121,126
